cve_id,published_date,last_modified_date,description_en,source_flags,cvss_v31_base_score,cvss_v31_severity,cvss_v31_vector,cvss_v4_base_score,cvss_v4_severity,cvss_v4_vector,cwe_list,product_list
CVE-2008-4501,2008-10-09 00:00:01.213,2025-04-09 00:30:58.490,"Directory traversal vulnerability in the FTP server in Serv-U 7.0.0.1 through 7.3, including 7.2.0.1, allows remote authenticated users to overwrite or create arbitrary files via a ..\ (dot dot backslash) in the RNTO command.","nvd,v5",,,,,,,"['CWE-22' 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22'
 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22' 'CWE-22']","['serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'serv-u_file_server' 'serv-u_file_server' 'serv-u_file_server'
 'solarwinds_serv_u_file_server']"
CVE-2015-1501,2015-02-16 15:59:14.417,2025-04-12 10:46:40.837,The factory.loadExtensionFactory function in TSUnicodeGraphEditorControl in SolarWinds Server and Application Monitor (SAM) allow remote attackers to execute arbitrary code via a UNC path to a crafted binary.,"nvd,v5",,,,,,,['CWE-94' 'CWE-94'],"['server_and_application_monitor'
 'solarwinds_server_and_application_monitor']"
CVE-2015-5610,2015-07-21 17:59:00.050,2025-04-12 10:46:40.837,"The RSM (aka RSMWinService) service in SolarWinds N-Able N-Central before 9.5.1.4514 uses the same password decryption key across different customers' installations, which makes it easier for remote authenticated users to obtain the cleartext domain-administrator password by locating the encrypted password within HTML source code and then leveraging knowledge of this key from another installation.","nvd,v5",,,,,,,['CWE-200' 'CWE-200'],['n-able_n-central' 'solarwinds_n_able_n_centra']
CVE-2015-7840,2015-10-15 20:59:11.427,2025-04-12 10:46:40.837,The command line management console (CMC) in SolarWinds Log and Event Manager (LEM) before 6.2.0 allows remote attackers to execute arbitrary code via unspecified vectors involving the ping feature.,"nvd,v5",,,,,,,['CWE-264' 'CWE-264'],['log_and_event_manager' 'solarwinds_log_and_event_manager']
CVE-2016-3643,2016-06-17 15:59:02.257,2025-10-22 00:15:51.510,"SolarWinds Virtualization Manager 6.3.1 and earlier allow local users to gain privileges by leveraging a misconfiguration of sudo, as demonstrated by ""sudo cat /etc/passwd.""","nvd,v5",7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,['CWE-264' 'CWE-264'],['virtualization_manager' 'solarwinds_virtualization_manager']
CVE-2017-7646,2017-04-10 19:59:00.237,2025-04-20 01:37:25.860,SolarWinds Log & Event Manager (LEM) before 6.3.1 Hotfix 4 allows an authenticated user to browse the server's filesystem and read the contents of arbitrary files contained within.,"nvd,v5",,,,,,,['CWE-200' 'CWE-200'],['log_\\&_event_manager' 'solarwinds_log_event_manager']
CVE-2017-7647,2017-04-10 19:59:00.267,2025-04-20 01:37:25.860,SolarWinds Log & Event Manager (LEM) before 6.3.1 Hotfix 4 allows an authenticated user to execute arbitrary commands.,"nvd,v5",,,,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['log_\\&_event_manager' 'solarwinds_log_event_manager']
CVE-2018-19999,2019-06-07 17:29:00.787,2024-11-21 03:58:58.237,"The local management interface in SolarWinds Serv-U FTP Server 15.1.6.25 has incorrect access controls that permit local users to bypass authentication in the application and execute code in the context of the Windows SYSTEM account, leading to privilege escalation. To exploit this vulnerability, an attacker must have local access the the host running Serv-U, and a Serv-U administrator have an active management console session.","nvd,v5",,,,,,,['CWE-287' 'CWE-287'],['serv-u_ftp_server' 'solarwinds_serv_u_ftp_server']
CVE-2019-16955,2020-12-18 09:15:12.570,2024-11-21 04:31:24.713,SolarWinds Web Help Desk 12.7.0 allows XSS via an uploaded SVG document in a request.,"nvd,v5",5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,,,['CWE-79' 'CWE-79'],['webhelpdesk' 'solarwinds_webhelpdesk']
CVE-2020-15542,2020-07-05 22:15:11.230,2024-11-21 05:05:43.917,SolarWinds Serv-U FTP server before 15.2.1 mishandles the CHMOD command.,"nvd,v5",9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,,,['NVD-CWE-noinfo' 'NVD-CWE-noinfo'],['serv-u_ftp_server' 'solarwinds_serv_u_ftp_server']
